cut,version,treat_year,year,supplier_role,mean_share,n_cells,ci_lo,ci_hi
Top quartile by omega gap,treat_2013,2013,2009,top,0.370802473421577,11,0.09958481028031,0.643529746148849
Top quartile by omega gap,treat_2013,2013,2010,top,0.394900229227183,15,0.172541934166653,0.625078605600024
Top quartile by omega gap,treat_2013,2013,2011,top,0.407335984537061,16,0.214516362957947,0.61585666447216
Top quartile by omega gap,treat_2013,2013,2012,top,0.399842877293413,16,0.199634269345316,0.607346242703685
Top quartile by omega gap,treat_2013,2013,2013,top,0.422875811197568,14,0.215917577557516,0.639828731282786
Top quartile by omega gap,treat_2013,2013,2014,top,0.445416516449208,14,0.229071989808642,0.673321853585231
Top quartile by omega gap,treat_2013,2013,2015,top,0.440651961449112,14,0.231684355876875,0.67564522674437
Top quartile by omega gap,treat_2013,2013,2016,top,0.253033936788489,13,0.0769061222771393,0.48380316755772
Top quartile by omega gap,treat_2013,2013,2017,top,0.287891185001698,12,0.083089653520716,0.533073410715875
Top quartile by omega gap,treat_2013,2013,2018,top,0.316389869329409,14,0.114416388743878,0.540425615190762
Top quartile by omega gap,treat_2013,2013,2019,top,0.27810814097927,14,0.0714285714285714,0.516236326151696
Top quartile by omega gap,treat_2013,2013,2020,top,0.317991354271145,14,0.127424932621943,0.560413114608524
Top quartile by omega gap,treat_2013,2013,2021,top,0.171379112046322,14,0.0100428166718495,0.380643417996111
Top quartile by omega gap,treat_2013,2013,2022,top,0.232932513091133,13,0.00841502210475252,0.461657515129889
Top quartile by omega gap,treat_2017,2017,2005,bot,0.264196950179327,84,0.172479525037195,0.351426406229623
Top quartile by omega gap,treat_2017,2017,2006,bot,0.218802680867617,101,0.148148159728354,0.299305123197023
Top quartile by omega gap,treat_2017,2017,2007,bot,0.238841381540951,102,0.167252921007712,0.311503526206933
Top quartile by omega gap,treat_2017,2017,2008,bot,0.263938345543167,110,0.186550794466386,0.345723965614158
Top quartile by omega gap,treat_2017,2017,2009,bot,0.373166178684486,124,0.296476116417933,0.458533164595432
Top quartile by omega gap,treat_2017,2017,2010,bot,0.363812722932491,129,0.294008530190466,0.44355699329025
Top quartile by omega gap,treat_2017,2017,2011,bot,0.40400620452665,130,0.329787344279993,0.478376386099384
Top quartile by omega gap,treat_2017,2017,2012,bot,0.383801181150631,132,0.311136603634347,0.450332685799283
Top quartile by omega gap,treat_2017,2017,2013,bot,0.394037003745559,133,0.326859093640353,0.463500872098838
Top quartile by omega gap,treat_2017,2017,2014,bot,0.433051976446904,136,0.362418531032132,0.499433233374289
Top quartile by omega gap,treat_2017,2017,2015,bot,0.428700117547921,147,0.356948741151094,0.495520636443774
Top quartile by omega gap,treat_2017,2017,2016,bot,0.391028696029532,145,0.32317939002184,0.454768165438911
Top quartile by omega gap,treat_2017,2017,2017,bot,0.37657540082661,138,0.313260477081299,0.44385948714677
Top quartile by omega gap,treat_2017,2017,2018,bot,0.363254150883622,135,0.296548769355454,0.428434504500037
Top quartile by omega gap,treat_2017,2017,2019,bot,0.36887483038465,135,0.295605026944791,0.436125453369882
Top quartile by omega gap,treat_2017,2017,2020,bot,0.36113907564138,126,0.288643410356995,0.42807253554564
Top quartile by omega gap,treat_2017,2017,2021,bot,0.364266988773535,125,0.290915538388857,0.434975213058643
Top quartile by omega gap,treat_2017,2017,2022,bot,0.329783752521177,115,0.257884014926566,0.40502470974358
Top quartile by omega gap,treat_2017,2017,2005,top,0.286389316798422,84,0.197696529888242,0.375450490372426
Top quartile by omega gap,treat_2017,2017,2006,top,0.394331662153332,101,0.311308721630937,0.479675343119458
Top quartile by omega gap,treat_2017,2017,2007,top,0.368677502546742,102,0.287658440486773,0.45049214137035
Top quartile by omega gap,treat_2017,2017,2008,top,0.392349565334741,110,0.308401341620499,0.474045543053895
Top quartile by omega gap,treat_2017,2017,2009,top,0.340981982312343,124,0.268380629539055,0.41200734266883
Top quartile by omega gap,treat_2017,2017,2010,top,0.320480218512587,129,0.256968993433796,0.391662391691938
Top quartile by omega gap,treat_2017,2017,2011,top,0.349140633016488,130,0.278732523116283,0.416185492221733
Top quartile by omega gap,treat_2017,2017,2012,top,0.3501753782984,132,0.281021294591399,0.416203280866657
Top quartile by omega gap,treat_2017,2017,2013,top,0.350847876221622,133,0.2870655580582,0.423951119337445
Top quartile by omega gap,treat_2017,2017,2014,top,0.341800027413216,136,0.277852761986358,0.411092694320947
Top quartile by omega gap,treat_2017,2017,2015,top,0.365421960839565,147,0.303792720204854,0.432076586696203
Top quartile by omega gap,treat_2017,2017,2016,top,0.393645646140382,145,0.327529270696889,0.456459395674951
Top quartile by omega gap,treat_2017,2017,2017,top,0.40056479137465,138,0.335831642729631,0.470572010947448
Top quartile by omega gap,treat_2017,2017,2018,top,0.369497591855203,135,0.303445939968474,0.438427699678037
Top quartile by omega gap,treat_2017,2017,2019,top,0.376336399592021,135,0.309581061595847,0.440124451863482
Top quartile by omega gap,treat_2017,2017,2020,top,0.364082271941154,126,0.29551586897239,0.430321552686784
Top quartile by omega gap,treat_2017,2017,2021,top,0.367171358099255,125,0.289949422423712,0.444317970672446
Top quartile by omega gap,treat_2017,2017,2022,top,0.367299951861103,115,0.298563457592503,0.4444408782227
