interval,seller_nace4d,n_cells,mean_n_supp,p10_n_supp,p25_n_supp,median_n_supp,p75_n_supp,p90_n_supp,p99_n_supp,max_n_supp,share_eq_1,share_eq_2,share_3_to_5,share_6_to_10,share_ge_11,share_ge_2
interval_2011_12,2059,5355,1.22521008403361,1,1,1,1,2,4,9,0.836601307189543,0.120261437908497,0.0420168067226891,0.00112044817927171,0,0.163398692810458
interval_2011_12,2932,5068,1.24250197316496,1,1,1,1,2,4,13,0.828137332280979,0.125493291239148,0.0441988950276243,0.0015785319652723,0.000591949486977111,0.171862667719021
interval_2011_12,1013,4718,2.18058499364137,1,1,1,2,4,22.8299999999999,65,0.720856295040271,0.131623569309029,0.0854175498092412,0.0326409495548961,0.0294616362865621,0.279143704959729
interval_2011_12,4751,4660,1.11072961373391,1,1,1,1,1,3,27,0.912017167381974,0.0751072961373391,0.0122317596566524,0.000429184549356223,0.000214592274678112,0.0879828326180258
interval_2011_12,2312,4548,1.31442392260334,1,1,1,1,2,5,16,0.815963060686016,0.118733509234829,0.0578276165347405,0.0063764291996482,0.00109938434476693,0.184036939313984
interval_2011_12,2222,4508,1.46384205856256,1,1,1,2,3,6,11,0.74622892635315,0.152617568766637,0.0885093167701863,0.0122005323868678,0.000443655723158829,0.25377107364685
interval_2011_12,2351,4074,1.30510554737359,1,1,1,1,2,4,5,0.757977417771232,0.191703485517919,0.0503190967108493,0,0,0.242022582228768
interval_2011_12,1629,4067,1.10745020899926,1,1,1,1,1,3,6,0.909515613474305,0.0769609048438653,0.0132776001967052,0.00024588148512417,0,0.0904843865256946
interval_2011_12,1330,3916,1.17773237997957,1,1,1,1,2,4.84999999999991,9,0.888151174668029,0.080949948927477,0.026046986721144,0.00485188968335036,0,0.111848825331971
interval_2011_12,2812,3853,1.31430054502985,1,1,1,1,2,4,11,0.796522190500908,0.13418115753958,0.0661821956916688,0.00285491824552297,0.00025953802232027,0.203477809499092
interval_2011_12,4311,3839,1.36441781713988,1,1,1,1,2,6,13,0.816097942172441,0.105496222974733,0.0630372492836676,0.0132847095597812,0.00208387600937744,0.183902057827559
